tourney_id,tourney_name,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ioc,loser_id,loser_name,loser_hand,loser_ioc,score,round,tourney_year
2000-W-SL-USA-01A-2000,US Open,2000-08-22,19,200046,Meghann Shaughnessy,R,USA,200006,Karina Habsudova,R,SVK,6-4 6-4,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,20,200047,Pavlina Nola,R,NZL,200012,Jana Nejedly,R,CAN,6-1 6-2,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,21,200010,Rita Grande,R,ITA,200706,Catalina Cristea,R,ROU,6-2 6-2,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,22,200027,Magui Serna,L,ESP,200114,Patricia Wartusch,R,AUT,7-6 7-5,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,23,200101,Jana Kandarr,R,GER,200115,Brie Rippner,R,USA,6-3 2-6 6-4,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,24,200064,Amanda Coetzer,R,RSA,200708,Sandra Cacic,R,USA,6-2 6-2,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,25,200017,Arantxa Sanchez Vicario,R,ESP,200682,Joannette Kruger,R,RSA,5-7 6-4 7-6,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,26,200099,Sonya Jeyaseelan,R,CAN,200093,Amelie Cocheteux,L,FRA,6-2 7-5,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,27,200126,Marissa Irvin,R,USA,200119,Rita Kuti Kis,L,HUN,6-4 6-7 7-5,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,28,201206,Allison Bradshaw,R,USA,200127,Sarah Pitkowski Malcor,R,FRA,6-4 6-2,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,29,201208,Dawn Buth,R,USA,201207,Ansley Cargill,R,USA,7-6 7-5,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,30,200091,Janet Lee,R,TPE,201087,Mashona Washington,R,USA,6-4 6-4,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,31,200024,Maria Vento Kabchi,R,VEN,200037,Sabine Appelmans,L,BEL,6-4 6-2,R128,2000
